product_category_name,product_category_name_english,total
cama_mesa_banho,bed_bath_table,829
moveis_decoracao,furniture_decor,593
esporte_lazer,sports_leisure,576
beleza_saude,health_beauty,553
informatica_acessorios,computers_accessories,523
utilidades_domesticas,housewares,472
relogios_presentes,watches_gifts,453
brinquedos,toys,345
ferramentas_jardim,garden_tools,310
cool_stuff,cool_stuff,249
eletronicos,electronics,242
perfumaria,perfumery,224
telefonia,telephony,208
automotivo,auto,192
moveis_escritorio,office_furniture,191
bebes,baby,167
papelaria,stationery,161
other,,120
pet_shop,pet_shop,111
fashion_bolsas_e_acessorios,fashion_bags_accessories,98
consoles_games,consoles_games,73
moveis_sala,furniture_living_room,67
malas_acessorios,luggage_accessories,62
construcao_ferramentas_construcao,construction_tools_construction,57
eletrodomesticos,home_appliances,48
climatizacao,air_conditioning,44
bebidas,drinks,41
eletroportateis,small_appliances,40
instrumentos_musicais,musical_instruments,40
casa_construcao,home_construction,39
casa_conforto,home_confort,32
audio,audio,31
eletrodomesticos_2,home_appliances_2,30
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,29
alimentos_bebidas,food_drink,28
alimentos,food,25
livros_interesse_geral,books_general_interest,24
telefonia_fixa,fixed_telephony,22
agro_industria_e_comercio,agro_industry_and_commerce,19
livros_tecnicos,books_technical,18
construcao_ferramentas_jardim,costruction_tools_garden,17
artes,art,16
market_place,market_place,15
fashion_calcados,fashion_shoes,14
moveis_quarto,furniture_bedroom,14
industria_comercio_e_negocios,industry_commerce_and_business,13
sinalizacao_e_seguranca,signaling_and_security,12
construcao_ferramentas_seguranca,construction_tools_safety,11
dvds_blu_ray,dvds_blu_ray,10
pcs,computers,9
construcao_ferramentas_iluminacao,construction_tools_lights,8
artigos_de_natal,christmas_supplies,8
fashion_underwear_e_moda_praia,fashion_underwear_beach,8
tablets_impressao_imagem,tablets_printing_image,7
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,6
fashion_roupa_masculina,fashion_male_clothing,6
cine_foto,cine_photo,5
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,5
construcao_ferramentas_ferramentas,costruction_tools_tools,5
musica,music,4
artigos_de_festas,party_supplies,3
casa_conforto_2,home_comfort_2,3
flores,flowers,2
livros_importados,books_imported,2
fraldas_higiene,diapers_and_hygiene,1
cds_dvds_musicais,cds_dvds_musicals,1
pc_gamer,,1
fashion_esporte,fashion_sport,1
